var_name,file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dateTime_X,dateTime_Y,diff_time,n,Slope,RMSE,MAPE,Bias,Error
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240815T094500_RHOW.csv,VIIRS_N,Hyp,15.413944,38.535664,15.3838,38.53715,2.63,2024-08-15T09:12:00Z,2024-08-15T07:45:00Z,87,5,1.03,7e-4,35,5.1,5.1
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240815T103000_RHOW.csv,Hyp,VIIRS_N,15.376033,38.533067,15.400984,38.53244,2.17,2024-08-15T08:30:00Z,2024-08-15T09:12:00Z,42,5,0.87,0.0026,24.2,-19,19
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240815T103000_RHOW.csv,VIIRS_N,Hyp,15.400984,38.53244,15.376033,38.533067,2.17,2024-08-15T09:12:00Z,2024-08-15T08:30:00Z,42,5,1.15,0.0026,47.4,19,19
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240815T104100_RHOW.csv,Hyp,VIIRS_N,15.366333,38.54425,15.400984,38.53244,3.29,2024-08-15T08:41:00Z,2024-08-15T09:12:00Z,31,5,0.89,0.0022,22.5,-16,16
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240815T104100_RHOW.csv,VIIRS_N,Hyp,15.400984,38.53244,15.366333,38.54425,3.29,2024-08-15T09:12:00Z,2024-08-15T08:41:00Z,31,5,1.12,0.0022,42.4,16,16
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240815T112000_RHOW.csv,Hyp,VIIRS_N,15.33125,38.580033,15.36031,38.563366,3.14,2024-08-15T09:20:00Z,2024-08-15T09:12:00Z,8,5,0.86,0.0025,18.2,-12.7,15.2
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240815T112000_RHOW.csv,VIIRS_N,Hyp,15.36031,38.563366,15.33125,38.580033,3.14,2024-08-15T09:12:00Z,2024-08-15T09:20:00Z,8,5,1.17,0.0025,17.3,12.7,15.2
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240815T130000_RHOW.csv,Hyp,VIIRS_N,15.2522,38.660433,15.289516,38.646824,3.58,2024-08-15T11:00:00Z,2024-08-15T09:12:00Z,108,5,0.81,0.0036,15.4,-17.3,17.3
RHOW,HYPERNETS_vs_VIIRS_N_vs_20240815T130000_RHOW.csv,VIIRS_N,Hyp,15.289516,38.646824,15.2522,38.660433,3.58,2024-08-15T09:12:00Z,2024-08-15T11:00:00Z,108,5,1.23,0.0036,18.4,17.3,17.3
RHOW,HYPERNETS_vs_VIIRS_J1_vs_20240810T110400_RHOW.csv,Hyp,VIIRS_J1,19.429983,35.909317,19.449856,35.898346,2.17,2024-08-10T09:04:00Z,2024-08-10T09:30:01Z,26,5,1.09,0.0031,40.6,14.8,14.8
