var_name,sensor_X,sensor_Y,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Wavelength_nm,Slope,Slope_log,Bias,Error,RMSE,MSA,MAPE
RHOW,HYPERNETS,S3_all,10,10,10,10,412,0.17,0.35,2.95,6.2,0.007994,0.004756,16.97
RHOW,S3_all,HYPERNETS,10,10,10,10,412,0.09,0.22,-2.95,6.2,0.007994,0.004756,11.87
RHOW,HYPERNETS,S3_all,10,10,10,10,442,0.05,0.23,1.11,2.78,0.006322,0.003558,14.08
RHOW,S3_all,HYPERNETS,10,10,10,10,442,0.02,0.14,-1.11,2.78,0.006322,0.003558,9.96
RHOW,HYPERNETS,S3_all,10,10,10,10,490,-0.87,-0.64,-2.13,8.62,0.004453,0.002647,15.39
RHOW,S3_all,HYPERNETS,10,10,10,10,490,-0.22,-0.24,2.13,8.62,0.004453,0.002647,11.4
RHOW,HYPERNETS,S3_all,10,10,10,10,510,-2.15,-1.58,0.18,13.4,0.003841,0.00217,24.15
RHOW,S3_all,HYPERNETS,10,10,10,10,510,-0.21,-0.32,-0.18,13.4,0.003841,0.00217,15.67
RHOW,HYPERNETS,S3_all,10,10,10,10,560,-3.09,-2.01,-4.37,15.45,0.002731,0.00139,36.43
RHOW,S3_all,HYPERNETS,10,10,10,10,560,-0.12,-0.23,4.37,15.45,0.002731,0.00139,20.92
RHOW,HYPERNETS,S3_all,10,10,10,10,620,-3.29,-1.97,3.79,51.93,0.001821,8.63e-4,117.93
RHOW,S3_all,HYPERNETS,10,10,10,10,620,-0.04,-0.17,-3.79,51.93,0.001821,8.63e-4,69.82
RHOW,HYPERNETS,S3_all,10,10,10,9,665,-4.02,-3.17,-13.43,61.43,0.00148,7.13e-4,165.26
RHOW,S3_all,HYPERNETS,10,10,10,9,665,-0.04,-0.14,13.43,61.43,0.00148,7.13e-4,252.54
RHOW,HYPERNETS,S3_all,10,10,10,10,673,-4.55,-2.94,-36.71,65.79,0.001329,6.29e-4,149.22
RHOW,S3_all,HYPERNETS,10,10,10,10,673,-0.04,-0.15,36.71,65.79,0.001329,6.29e-4,184.9
RHOW,HYPERNETS,S3_all,10,10,10,10,681,-4.89,-3.96,-39.11,80.07,0.001281,6.08e-4,148.95
RHOW,S3_all,HYPERNETS,10,10,10,10,681,-0.04,-0.11,39.11,80.07,0.001281,6.08e-4,434.03
RHOW,TRIOS,S3_all,13,13,13,13,400,0.83,1.09,16.63,16.63,0.009598,0.007281,22.67
