var_name,sensor_X,sensor_Y,wavelength,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
LU,TRIOS,HYPERNETS,405,55,46,46,46,1.006,0.9852,0.9627,1.0536,1.1531,-2.389303,-1.036487,0.199614,NA,FALSE,FALSE,1.064666,0.79614,6.0374,-0.056413,-0.024644,-0.001317,0.017541,0.036384,0.097965,-5.9789,-2.5272,-0.1319,1.7856,3.7758,9.9566
LU,HYPERNETS,TRIOS,406,55,46,46,46,0.9114,0.9184,0.8723,0.9547,1.0448,-0.19351,1.006159,2.102285,NA,FALSE,FALSE,1.097903,0.847361,6.7991,0.007511,0.032238,0.067086,0.022144,0.046154,0.089227,0.751,3.2236,6.7083,2.2144,4.6154,9.4148
LU,TRIOS,HYPERNETS,406,55,46,46,46,1.0001,0.9864,0.9571,1.0475,1.1464,-2.410156,-1.053947,0.185206,NA,FALSE,FALSE,1.097903,0.847361,6.3502,-0.062863,-0.031228,-0.007453,0.021665,0.044117,0.091779,-6.7083,-3.2236,-0.751,2.2144,4.6154,9.4148
LU,HYPERNETS,TRIOS,407,55,46,46,46,0.9158,0.9175,0.8764,0.9592,1.0497,-0.181102,1.025799,2.128621,NA,FALSE,FALSE,1.130697,0.890525,7.1295,0.012778,0.038215,0.073412,0.02566,0.049762,0.091961,1.2776,3.8214,7.3408,2.566,5.1067,9.3627
LU,TRIOS,HYPERNETS,407,55,46,46,46,0.9955,0.98740000000000006,0.9527,1.0426,1.141,-2.42871,-1.069482,0.172531,NA,FALSE,FALSE,1.130697,0.890525,6.6037,-0.068384,-0.036806,-0.012612,0.025018,0.0495,0.087427,-7.3408,-3.8214,-1.2776,2.566,5.1067,9.3627
LU,HYPERNETS,TRIOS,408,55,46,46,46,0.9163,0.9163,0.8769,0.9597,1.0504,-0.162165,1.05306,2.163435,NA,FALSE,FALSE,1.151338,0.916112,7.2988,0.014931,0.039762,0.074806,0.027639,0.049062,0.091254,1.4927,3.9761,7.4797,2.7638,5.0107,9.7472
LU,TRIOS,HYPERNETS,408,55,46,46,46,0.9948,0.9888,0.9521,1.042,1.1403,-2.467059,-1.09724,0.15439,NA,FALSE,FALSE,1.151338,0.916112,6.741,-0.069585,-0.038241,-0.014704,0.026895,0.048929,0.089704,-7.4797,-3.9761,-1.4927,2.7638,5.0107,9.7472
LU,HYPERNETS,TRIOS,409,55,46,46,46,0.9165,0.915,0.8771,0.9602,1.0512,-0.150613,1.074787,2.194117,NA,FALSE,FALSE,1.170805,0.937194,7.441,0.015171,0.043216,0.07724,0.028824,0.050369,0.090423,1.5167,4.3216,7.7231,2.8823,5.0369,9.6036
LU,TRIOS,HYPERNETS,409,55,46,46,46,0.994,0.9893,0.9513,1.0415,1.1401,-2.501614,-1.119343,0.143279,NA,FALSE,FALSE,1.170805,0.937194,6.8535,-0.071687,-0.041425,-0.014936,0.028014,0.048967,0.088087,-7.7231,-4.3216,-1.5167,2.8823,5.0369,9.6036
LU,HYPERNETS,TRIOS,410,55,46,46,46,0.9171,0.9143,0.8777,0.961,1.0522,-0.152367,1.081931,2.209258,NA,FALSE,FALSE,1.183358,0.94882,7.5046,0.015304,0.04433,0.079657,0.02939,0.052837,0.091449,1.53,4.433,7.9648,2.939,5.2836,9.544
LU,TRIOS,HYPERNETS,410,55,46,46,46,0.9931,0.9895,0.9504,1.0406,1.1394,-2.517131,-1.125872,0.144814,NA,FALSE,FALSE,1.183358,0.94882,6.903,-0.073764,-0.042448,-0.015065,0.028551,0.050184,0.087123,-7.9648,-4.433,-1.53,2.939,5.2836,9.544
LU,HYPERNETS,TRIOS,411,55,46,46,46,0.9081,0.9145,0.8691,0.9515,1.0417,-0.159949,1.08099,2.214493,NA,FALSE,FALSE,1.138496,0.874708,6.8255,0.0045,0.03016,0.068027,0.022262,0.04617,0.08885,0.4497,3.016,6.8012,2.2635,4.617,9.2995
LU,TRIOS,HYPERNETS,411,55,46,46,46,1.0031,0.9893,0.96,1.051,1.1506,-2.548013,-1.136112,0.153551,NA,FALSE,FALSE,1.138496,0.874708,6.3635,-0.063668,-0.029277,-0.004474,0.02243,0.044133,0.091495,-6.8012,-3.016,-0.4497,2.2635,4.617,9.2995
LU,HYPERNETS,TRIOS,412,55,46,46,46,0.8883,0.9137,0.8501,0.9303,1.018,-0.121182,1.117974,2.250337,NA,FALSE,FALSE,1.097533,0.771392,5.8949,-0.019567,0.011375,0.043284,0.012375,0.02873,0.093167,-1.9967,1.1375,4.3272,1.2491,2.958,9.5782
LU,TRIOS,HYPERNETS,412,55,46,46,46,1.0264,0.99,0.9823,1.0749,1.1763,-2.647126,-1.201762,0.119038,NA,FALSE,FALSE,1.097533,0.771392,5.6678,-0.041466,-0.011247,0.019976,0.012381,0.02958,0.087402,-4.3272,-1.1375,1.9967,1.2491,2.958,9.5782
LU,HYPERNETS,TRIOS,413,55,46,46,46,0.8852,0.9138,0.8471,0.9265,1.0134,-0.122032,1.115927,2.247806,NA,FALSE,FALSE,1.095253,0.76562,5.7878,-0.022197,0.005526,0.039857,0.012155,0.031376,0.092256,-2.2708,0.5526,3.9849,1.2266,3.2022,9.2238
LU,TRIOS,HYPERNETS,413,55,46,46,46,1.0312,0.9908,0.9868,1.0793,1.1805,-2.653424,-1.204418,0.120423,NA,FALSE,FALSE,1.095253,0.76562,5.6115,-0.038315,-0.005495,0.022714,0.012211,0.031494,0.08593,-3.9849,-0.5526,2.2708,1.2266,3.2022,9.2238
LU,HYPERNETS,TRIOS,414,55,46,46,46,0.8862,0.9134,0.8481,0.9281,1.0157,-0.126556,1.124699,2.268121,NA,FALSE,FALSE,1.105637,0.777501,5.8606,-0.02121,0.007168,0.041227,0.013106,0.030986,0.093532,-2.168,0.7168,4.1221,1.315,3.1511,9.352
LU,TRIOS,HYPERNETS,414,55,46,46,46,1.0288,0.9904,0.9846,1.0774,1.179,-2.674219,-1.211791,0.124605,NA,FALSE,FALSE,1.105637,0.777501,5.664,-0.039584,-0.007117,0.021691,0.013023,0.031073,0.0858,-4.1221,-0.7168,2.168,1.315,3.1511,9.352
LU,HYPERNETS,TRIOS,415,55,46,46,46,0.8898,0.9129,0.8515,0.9319,1.0198,-0.118073,1.138468,2.286704,NA,FALSE,FALSE,1.112526,0.788229,5.9564,-0.016707,0.012059,0.045099,0.012656,0.029404,0.095312,-1.7001,1.2059,4.5095,1.2656,2.9404,9.852
LU,TRIOS,HYPERNETS,415,55,46,46,46,1.0247,0.9908,0.9806,1.0731,1.1743,-2.685384,-1.22172,0.115786,NA,FALSE,FALSE,1.112526,0.788229,5.7054,-0.043144,-0.011915,0.017012,0.012498,0.028564,0.089675,-4.5095,-1.2059,1.7001,1.2656,2.9404,9.852
LU,HYPERNETS,TRIOS,416,55,46,46,46,0.8896,0.912,0.8514,0.9318,1.0199,-0.10589,1.151238,2.29982,NA,FALSE,FALSE,1.115068,0.79237,5.9943,-0.016037,0.013128,0.045586,0.013752,0.030883,0.09536,-1.631,1.3128,4.5581,1.3752,3.0882,9.9306
LU,TRIOS,HYPERNETS,416,55,46,46,46,1.0245,0.9913,0.9805,1.0732,1.1746,-2.701313,-1.235461,0.103825,NA,FALSE,FALSE,1.115068,0.79237,5.731,-0.043589,-0.012958,0.01632,0.013566,0.029957,0.090327,-4.5581,-1.3128,1.631,1.3752,3.0882,9.9306
LU,HYPERNETS,TRIOS,417,55,46,46,46,0.8923,0.9121,0.854,0.9349,1.0235,-0.112813,1.147034,2.297868,NA,FALSE,FALSE,1.119202,0.802439,6.0975,-0.013935,0.016287,0.046517,0.016538,0.033089,0.095826,-1.4142,1.6287,4.6513,1.6816,3.3623,10.2593
LU,TRIOS,HYPERNETS,417,55,46,46,46,1.0209,0.991,0.9771,1.0696,1.1709,-2.690676,-1.226895,0.110226,NA,FALSE,FALSE,1.119202,0.802439,5.8011,-0.044442,-0.016025,0.014151,0.016765,0.033063,0.093041,-4.6513,-1.6287,1.4142,1.6816,3.3623,10.2593
LU,HYPERNETS,TRIOS,418,55,46,46,46,0.8947,0.9115,0.8563,0.9375,1.0264,-0.100782,1.159232,2.310065,NA,FALSE,FALSE,1.127302,0.819498,6.2532,-0.010149,0.020536,0.053778,0.017864,0.034965,0.093275,-1.0265,2.0534,5.377,1.7864,3.4961,10.0722
LU,TRIOS,HYPERNETS,418,55,46,46,46,1.018,0.9913,0.9743,1.0667,1.1679,-2.697878,-1.236532,0.098188,NA,FALSE,FALSE,1.127302,0.819498,5.9091,-0.051019,-0.02012,0.010277,0.017551,0.033897,0.095724,-5.377,-2.0534,1.0265,1.7864,3.4961,10.0722
