var_name,sensor_X,sensor_Y,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Wavelength_nm,Slope,Slope_log,Bias,Error,RMSE,MSA,MAPE
RHOW,S3B,HYPERPRO,2,2,2,2,510,-0.04,-0.05,-22.65,40.71,0.005743,0.004722,28.39
RHOW,HYPERPRO,S3B,2,2,2,2,560,-38.82,-25.81,43.42,74.79,0.004765,0.003759,84.31
RHOW,S3B,HYPERPRO,2,2,2,2,560,-0.03,-0.04,-43.42,74.79,0.004765,0.003759,40.99
RHOW,HYPERPRO,S3B,2,2,2,2,620,NA,NA,68.61,264.93,0.003453,0.002682,284.55
RHOW,S3B,HYPERPRO,2,2,2,2,620,-0,-0,-68.61,264.93,0.003453,0.002682,100.09
RHOW,HYPERPRO,S3B,2,2,2,2,665,-28.96,-15.7,-2.01,807.4,0.002722,0.002185,439.34
RHOW,S3B,HYPERPRO,2,2,2,2,665,-0.03,-0.06,2.01,807.4,0.002722,0.002185,457.21
RHOW,HYPERPRO,S3B,2,2,2,2,673,-39.74,-12.54,101.61,546.12,0.002679,0.002031,635.71
RHOW,S3B,HYPERPRO,2,2,2,2,673,-0.03,-0.08,-101.61,546.12,0.002679,0.002031,156.41
RHOW,HYPERPRO,S3B,2,2,2,2,681,NA,NA,60.97,674.59,0.002554,0.001926,613.05
RHOW,S3B,HYPERPRO,2,2,2,2,681,-0,0,-60.97,674.59,0.002554,0.001926,236.59
RHOW,HYPERNETS,S3_all,10,10,10,10,400,0.15,0.32,6.97,7.83,0.009243,0.005886,20.97
RHOW,S3_all,HYPERNETS,10,10,10,10,400,0.07,0.2,-6.97,7.83,0.009243,0.005886,14.23
RHOW,HYPERNETS,S3_all,10,10,10,10,412,0.17,0.35,2.95,6.2,0.007994,0.004756,16.97
RHOW,S3_all,HYPERNETS,10,10,10,10,412,0.09,0.22,-2.95,6.2,0.007994,0.004756,11.87
RHOW,HYPERNETS,S3_all,10,10,10,10,442,0.05,0.23,1.11,2.78,0.006322,0.003558,14.08
RHOW,S3_all,HYPERNETS,10,10,10,10,442,0.02,0.14,-1.11,2.78,0.006322,0.003558,9.96
RHOW,HYPERNETS,S3_all,10,10,10,10,490,-0.87,-0.64,-2.13,8.62,0.004453,0.002647,15.39
RHOW,S3_all,HYPERNETS,10,10,10,10,490,-0.22,-0.24,2.13,8.62,0.004453,0.002647,11.4
RHOW,HYPERNETS,S3_all,10,10,10,10,510,-2.15,-1.58,0.18,13.4,0.003841,0.00217,24.15
RHOW,S3_all,HYPERNETS,10,10,10,10,510,-0.21,-0.32,-0.18,13.4,0.003841,0.00217,15.67
RHOW,HYPERNETS,S3_all,10,10,10,10,560,-3.09,-2.01,-4.37,15.45,0.002731,0.00139,36.43
RHOW,S3_all,HYPERNETS,10,10,10,10,560,-0.12,-0.23,4.37,15.45,0.002731,0.00139,20.92
RHOW,HYPERNETS,S3_all,10,10,10,10,620,-3.29,-1.97,3.79,51.93,0.001821,8.63e-4,117.93
RHOW,S3_all,HYPERNETS,10,10,10,10,620,-0.04,-0.17,-3.79,51.93,0.001821,8.63e-4,69.82
RHOW,HYPERNETS,S3_all,10,10,10,9,665,-4.02,-3.17,-13.43,61.43,0.00148,7.13e-4,165.26
RHOW,S3_all,HYPERNETS,10,10,10,9,665,-0.04,-0.14,13.43,61.43,0.00148,7.13e-4,252.54
RHOW,HYPERNETS,S3_all,10,10,10,10,673,-4.55,-2.94,-36.71,65.79,0.001329,6.29e-4,149.22
RHOW,S3_all,HYPERNETS,10,10,10,10,673,-0.04,-0.15,36.71,65.79,0.001329,6.29e-4,184.9
RHOW,HYPERNETS,S3_all,10,10,10,10,681,-4.89,-3.96,-39.11,80.07,0.001281,6.08e-4,148.95
RHOW,S3_all,HYPERNETS,10,10,10,10,681,-0.04,-0.11,39.11,80.07,0.001281,6.08e-4,434.03
RHOW,TRIOS,S3_all,13,13,13,13,400,0.83,1.09,16.63,16.63,0.009598,0.007281,22.67
